	sample	project	condition	type	missing_metadata	cell_line	differentiated
0	SRS1516153	SRP076812	case	"epithelial cell
liver"	False	True	False
1	SRS1516154	SRP076812	case	"epithelial cell
liver"	False	True	False
2	SRS512127	SRP033566	control	"epithelial cell
liver"	False	False	False
3	ERS3358319	ERP114711	case	hepatocyte	False	True	False
4	ERS3358322	ERP114711	case	hepatocyte	False	True	False
5	ERS3358317	ERP114711	case	hepatocyte	False	True	False
6	ERS3358316	ERP114711	case	hepatocyte	False	True	False
7	ERS3358320	ERP114711	case	hepatocyte	False	True	False
8	ERS3358323	ERP114711	case	hepatocyte	False	True	False
9	ERS3358321	ERP114711	case	hepatocyte	False	True	False
10	ERS3358318	ERP114711	case	hepatocyte	False	True	False
11	ERS3358315	ERP114711	case	hepatocyte	False	True	False
12	SRS1313087	SRP013565	control	hepatocyte	False	False	False
13	SRS530020	SRP035387	control	hepatocyte	False	False	False
14	SRS2329917	SRP110815	control	hepatocyte	False	False	False
15	SRS4755402	SRP198343	control	hepatocyte	False	False	False
16	SRS3315798	SRP148436	control	hepatocyte	False	False	False
17	SRS1756362	SRP091947	control	hepatocyte	False	True	False
18	SRS4755405	SRP198343	control	hepatocyte	False	False	False
19	SRS1756365	SRP091947	control	hepatocyte	False	True	False
20	SRS5308185	SRP219310	control	hepatocyte	False	True	False
21	SRS4135814	SRP173191	control	hepatocyte	False	False	False
22	SRS1313086	SRP013565	control	hepatocyte	False	False	False
23	SRS3421685	SRP150620	control	hepatocyte	False	False	False
24	SRS4135795	SRP173191	control	hepatocyte	False	False	False
25	SRS2329912	SRP110815	control	hepatocyte	False	False	False
26	SRS1072208	SRP063834	control	hepatocyte	False	False	False
27	SRS1072209	SRP063834	control	hepatocyte	False	False	False
28	SRS2539742	SRP118837	control	hepatocyte	False	False	False
29	SRS1756361	SRP091947	control	hepatocyte	False	True	False
30	SRS3421686	SRP150620	control	hepatocyte	False	False	False
31	SRS2329918	SRP110815	control	hepatocyte	False	False	False
32	SRS4135815	SRP173191	control	hepatocyte	False	False	False
33	SRS3421681	SRP150620	control	hepatocyte	False	False	False
34	SRS3421689	SRP150620	control	hepatocyte	False	False	False
35	SRS3315799	SRP148436	control	hepatocyte	False	False	False
36	SRS2329916	SRP110815	control	hepatocyte	False	False	False
37	SRS1756351	SRP091947	control	hepatocyte	False	True	False
38	SRS1756360	SRP091947	control	hepatocyte	False	True	False
39	SRS2329915	SRP110815	control	hepatocyte	False	False	False
